worker	sentence	workeranswer
aggworker0	279	That was something she didn't want to say.
aggworker1	279	That's what she doesn't want to say.
aggworker2	279	That's the word she didn't want to say.
aggworker3	279	That was a word she didn't want to say.
aggworker4	279	That's the thing she doesn't want to say.
aggworker5	848	How long does it take to get there?
aggworker4	848	How long will it take for my package to be delivered?
aggworker3	848	How long does it take to arrive?
aggworker0	848	How long will it take to get there?
aggworker1	848	How long does it take to get there?
aggworker1	22	The first thing that came to my mind was her face.
aggworker4	22	The first thing that came to my mind was her face.
aggworker6	22	Her face came to my mind at first.
aggworker7	22	Her face first came to my mind.
aggworker5	22	Her face just popped up in my mind.
aggworker8	504	He mistakenly salted his coffee.
aggworker9	504	10. He put some salt in the coffee by mistake.
aggworker1	504	He put salt in the coffee by mistake.
aggworker4	504	He accidentally poured salt in his coffee.
aggworker3	504	He accidentally added salt to his coffee.
aggworker6	728	He is often late for school.
aggworker10	728	He is often late for school.
aggworker0	728	He is often late for school.
aggworker4	728	 He is often late for school.
aggworker11	728	He is always late for school.
aggworker12	906	I am going to meet her again in near future
aggworker0	906	I will meet her again before long.
aggworker13	906	I am supposed to see her again soon.
aggworker3	906	I will meet her again soon.
aggworker5	906	I'm going to see her again soon.
aggworker11	186	The time has come
aggworker4	186	Now it's time.
aggworker14	186	god knows.
aggworker15	186	Life is what it will be.
aggworker12	186	That time has come
aggworker16	481	Please confirm whether you have reserved a room at the hotel
aggworker8	481	Please check if you have booked a room at the hotel.
aggworker17	481	Check with the hotel to see if it is booked
aggworker15	481	Make sure you've reserved a hotel room.
aggworker18	481	Please confirm your reservation to the hotel.
aggworker5	708	I met the girl again whom I had met in the park before.
aggworker19	708	I met the girl who I have met in the park in other day.
aggworker11	708	I met her in the park another day.
aggworker17	708	I met a woman I had met on another day again
aggworker14	708	I met the girl in the park, whom I met her few days ago.
aggworker3	916	It was too late to see the difference.
aggworker13	916	It was too late to understand the difference.
aggworker0	916	It was too late to notice the difference.
aggworker20	916	It was too late to understand the difference.
aggworker21	916	 It was so late to know difference
aggworker9	467	I'm glad that it snowed a lot.
aggworker5	467	I'm happy that it is snowing a lot.
aggworker22	467	I am happy that it snows a lot.
aggworker14	467	I'm happy because it snows lot.
aggworker23	467	I'm happy that snow falls a lot.
