worker	sentence	label
MasatoYoshihara	298	To tell the truth, they are not couple.
MasatoYoshihara	869	Look at this picture and find me.
MasatoYoshihara	23	It will not be a problem if the road is not so crowded.
MasatoYoshihara	672	He lost sight of one eye in a traffic accident.
MasatoYoshihara	822	When my mother was young,she was bery beautiful.
MasatoYoshihara	950	If you help me,it is very happy.
MasatoYoshihara	148	She broken a promise.
MasatoYoshihara	809	I must prepare for tomorrow tonight.
MasatoYoshihara	666	I had no choice but to cancel the game because of the rain.
MasatoYoshihara	1009	If i am late,please you go.
tapdancemisei	659	If you have a million dollars, what would you do?
tapdancemisei	946	It is important to find true friends when you are young
tapdancemisei	826	He often used to come to talk to me on Sunday
tapdancemisei	132	He always writes to his parents once in a month
tapdancemisei	75	You have to try hard , if you want success
tapdancemisei	368	This coffee is too hot to drink
tapdancemisei	219	There will not differences at all, if you go today
tapdancemisei	256	Please take care of my baby, while I'm not here
tapdancemisei	418	When he was a boy, he is so cheerful
tapdancemisei	78	I was born in Osaka but I grew up in Tokyo
Luke_Sky	608	I want to catch the train to New York which leaves at 6 o'clock.
Luke_Sky	727	If it is raining tomorrow, the match will be canceled.
Luke_Sky	24	Kept waiting for two hours as well.
Luke_Sky	782	This is the hardest book I have ever read
Luke_Sky	610	Will you please find a house with a small garden?
Luke_Sky	641	Actually I do not feel like doing it.
Luke_Sky	53	Pass one year 's pocket money first.
Luke_Sky	1055	Happy if you come with me
Luke_Sky	839	If it is two minutes earlier, although I could get on the bus
Luke_Sky	823	The student did not even reply to the teacher.
aku-n123o	713	It is yet to be seen whether this plan will succeed or not.
aku-n123o	833	There used to be a coffee shop near the park.
aku-n123o	939	Please give me a call.
aku-n123o	770	I could not make myself heard in the noisy class.
aku-n123o	654	I stayed at a hotel on a hill in that town.
aku-n123o	320	He came here at ten and went back at eleven.
aku-n123o	162	He failed to do what he said he would do.
aku-n123o	683	Old Mr Smith is saving as much money as he can.
aku-n123o	732	Having walked for some time, we came to the lake.
aku-n123o	812	Ten to one it'll clear up in an hour or so.
allearz33	22	Soccer is popular in Japan now than then.
allearz33	720	First of all, be careful about what you eat and drink.
allearz33	598	Please be sure to take a note of what she says.
allearz33	570	I want to live as long as I can stay healthy.
allearz33	33	He always talks about his father behind his back.
allearz33	142	We have decided to postpone the meeting till next Sunday.
allearz33	154	I don't have time to do everything I want to do.
allearz33	539	If it were not for examinations, our school life would be merrier.
allearz33	530	I am very honored to meet you.
allearz33	43	I am happy for you because you got accepted by the school you wanted to go.
Camy007	941	I worked very hard in order to not to fail my job.
Camy007	701	What will you do, if you are in my position?
Camy007	9	watch out for the cars, when you cross the street.
Camy007	423	Don't get angry, and carm down. It is not good for you.
Camy007	334	She studied very hard, lest she failed in the examination.
Camy007	644	There was a fire near the station last night.
Camy007	121	Nobody had the heart to say that he was wrong.
Camy007	491	I have to do maany thing this week.
Camy007	238	He went to Palis and met me first time at the time.
Camy007	655	I don't know the certain time when he will come.
shiitake39	99	This job is very simple. So, children can work.
shiitake39	389	Which books is easy, this book or that book.
shiitake39	753	I need money. Please lend me money.
shiitake39	686	OK. I'll tell you. This is no good.
shiitake39	832	If you keep quiet, you can stay here.
shiitake39	864	I don't lent book to students.
shiitake39	401	That movie was big hit.
shiitake39	843	If tomorrow is rainy day, I'll stay my home.
shiitake39	140	He kindly show me his town.
shiitake39	927	I can't went to the school yesterday. Because, I had a sick.
Tea-Sky	170	There are 10 mile from here to the hospital.
Tea-Sky	362	They seldom go out since their child was born.
Tea-Sky	642	A sake is good to these time.
Tea-Sky	1029	When I go to New York city, visit you.
Tea-Sky	1042	If it will be rain tomorrow, we go out by bus.
Tea-Sky	773	I don't like him because he often get angry.
Tea-Sky	176	You should eat more  slowly, don't be quickly.
Tea-Sky	960	He always make friends wherever he goes.
Tea-Sky	796	I want to do the garden.
Tea-Sky	825	I dictate to him call you when he come back.
MasatoYoshihara	260	He will be sufflered if he will found.
MasatoYoshihara	502	If I have enough money,i will.
MasatoYoshihara	834	She has been suffering from back pain for many years.
MasatoYoshihara	617	How many hours do you take a nap every day?
MasatoYoshihara	531	Whatever happens, I will not be surprised.
MasatoYoshihara	745	You don't have to go in such a hurry.
MasatoYoshihara	691	It is difficult for what he say.
MasatoYoshihara	130	Nobody comes this deserted village.
MasatoYoshihara	873	His English composition is almost collect.
MasatoYoshihara	779	Last night I studied English without watching television.
hysq77	870	we took turns driving on our way there.
hysq77	499	i wish i have a japaneese version.
hysq77	212	 I'm sorry I kept you waiting for a long time.
hysq77	841	  I have a house　at a distance from the station.
hysq77	80	That house still has not buyer.
hysq77	1017	I have no idea  to contact him.
hysq77	769	  Let's try this　I have　1 million yen on hand.
hysq77	737	If you have some questions please let us know.
hysq77	621	 It will rain in the afternoon  according to the weather forecast.
hysq77	609	When the telephone rang, we are about to go out.
cnanamin1	833	coffee shop near the park before
cnanamin1	843	If rain tomorrow. I will stay at home
cnanamin1	418	He was fine. Before
cnanamin1	834	She is in trouble for many years. My back hurts.
cnanamin1	950	Please help me.l am happy
cnanamin1	154	I don't have time to do everything I want.
cnanamin1	499	I want a Japanese version.
cnanamin1	839	I was two minutes earlier, I was able to get on the bus.
cnanamin1	773	He gets angry easily I don't he like
cnanamin1	745	You do not have to hurry.
allearz33	946	It is important to find a true friend when you are young.
allearz33	531	No matter what happened, I won't be surprised.
allearz33	683	Mr. Smith, the old man, saves as much money as he can.
allearz33	655	It is uncertain when he will come.
allearz33	654	I stayed at the hilltop hotel in that town.
allearz33	401	The movie made a smash hit.
allearz33	389	Which book is easier to read, this one or that one?
allearz33	609	When the telephone rang, we were about to go out.
allearz33	826	He would often visit me for a talk on Sundays.
allearz33	99	This job is simple enough for a child to do.
MasatoYoshihara	23	It will not be a problem if the road is not so crowded.
MasatoYoshihara	809	I must prepare for tomorrow tonight.
MasatoYoshihara	1029	I will visit for you when I will go to New York.
MasatoYoshihara	727	If it will rain tomorrow,the game will be canceled.
MasatoYoshihara	170	There are ten miles to the hospital.
MasatoYoshihara	491	It is busy this week.
MasatoYoshihara	960	No matter where he goes, he makes friends necessary.
MasatoYoshihara	320	He came here at 10,and went back at 11.
MasatoYoshihara	617	How many hours do you take a nap every day?
MasatoYoshihara	530	I am very happy to meet you.
Luke_Sky	769	Suppose there is 1 million yen on hand
Luke_Sky	1055	Happy if you come with me
Luke_Sky	666	I had no choice but to cancel the game due to rain
Luke_Sky	1009	Please go ahead if I get late
Luke_Sky	873	His English composition is almost error free.
Luke_Sky	539	If the test does not exist, student life would be more fun
Luke_Sky	641	Actually I do not feel like going well
Luke_Sky	701	If you were me, how do you do?
Luke_Sky	238	He first met me in Paris
Luke_Sky	423	Do not get crazy. It will not benefit.
tapdancemisei	869	Look at this picture carefully and find me
tapdancemisei	659	If you have a million dollars, what would you do?
tapdancemisei	825	I will call you back as soon as I return
tapdancemisei	142	We decided to postpone the meeting until next Sunday
tapdancemisei	841	My house is a little away from the station
tapdancemisei	570	I want to live while I am healthy
tapdancemisei	610	Will you look for a house with a small garden?
tapdancemisei	941	I worked hard in order not to fall
tapdancemisei	298	In fact, they are not couple
tapdancemisei	1042	If by any chance it will rain tomorrow, we will go by bus
penelope777	608	I'd like to get on the train bound for New York at 6 AM.
penelope777	672	He lost his one eye sight by car accident.
penelope777	256	Take care of this baby while I'm absent.
penelope777	33	He always speak ill of his father.
penelope777	691	It's difficult to understand what he says.
penelope777	642	There's nothing like a hair of the dog like this time.
penelope777	212	I'm sorry for keep you wating longer.
penelope777	870	We drove the car by turns on the way to there.
penelope777	24	I've been waited for two hours.
penelope777	812	It will definitely clears up in one hour.
truenoAE101	368	This coffee is too hot for me to drink.
truenoAE101	753	In short, I need money. Lend me!
truenoAE101	779	Last night I studied English without watching TV.
truenoAE101	598	Be sure to write down the points to be noted by her.
truenoAE101	621	According to the weather forecast, it will rain in the afternoon.
truenoAE101	927	I could not go to school yesterday due to sickness.
truenoAE101	78	I was born in Osaka but brought up in Tokyo.
truenoAE101	713	For the moment, I do not know if this plan will succeed or not.
truenoAE101	9	Pay attention to the car when crossing the road.
truenoAE101	939	When you come next time, please call me.
Camy007	686	I will talk to his that this is not good action.
Camy007	219	I guess much difference whether you go today or tomorrow.
Camy007	720	First of all, you have to take care to eat 
Camy007	732	We arrived at the lake, after we walk for the moment.
Camy007	75	You will be to succeed, if you work hard.
Camy007	1017	There is no means to contact to him.
Camy007	132	He always write a letter to his parents once a month.
Camy007	770	I could not make myself heard in the noisy class.
Camy007	864	I don't want to lend　my books to any students.
Camy007	140	He was so kind to show around the town.
snakamura3141	362	They won't go out much since they got their own kids.
snakamura3141	334	She studied hard not to fail in her exams.
snakamura3141	121	No one has had a courage to point out his mistakes.
snakamura3141	162	He failed to fulfill what he said he would do.
snakamura3141	176	Don't devour like this; eat a bit more slowly.
snakamura3141	644	A fire broke out near the station last night.
snakamura3141	260	If found out, he will be blamed hard.
snakamura3141	53	Now I hand you money you'll need for the coming one year.
snakamura3141	782	This is the most difficult book I've ever read.
snakamura3141	823	That student even didn't try to reply to the teacher.
MasatoYoshihara	22	In Japan,Football is more popular now than before.
MasatoYoshihara	148	As is often the case with her, she broke her promise.
MasatoYoshihara	737	Please let us know if you have any questions.
MasatoYoshihara	832	You may stay here if you keep quiet.
MasatoYoshihara	43	It is nice that you want to go to the school.
MasatoYoshihara	822	If my mother was young, she was very beautiful.
MasatoYoshihara	80	Nodody buy that house,yet.
MasatoYoshihara	796	I may care this garden.
MasatoYoshihara	130	Nobody comes to this lonely village for us.
MasatoYoshihara	502	 If I have enough money, I pay.
yabukoji	841	My house is bit far from the station.
yabukoji	368	This coffee is too hot to drink.
yabukoji	683	Old Smith saves the money as long as he can.
yabukoji	256	Please take care of this baby while I am not around.
yabukoji	148	She broke the promise as always.
yabukoji	238	He went to Paris and met me for the first time. 
yabukoji	23	There is no problem as long as the traffice is not congested.
yabukoji	320	He came here at 10 and left at 11.
yabukoji	334	She study very hard to pass the examine.
yabukoji	132	He never fail to write the letter to his parents every month.
Luke_Sky	1055	Happy if you come with me
Luke_Sky	946	It is important to find a real friend when young
Luke_Sky	823	The student did not even reply to the teacher.
Luke_Sky	140	He kindly showed me around the city.
Luke_Sky	9	When you cross the road be careful of the car
Luke_Sky	212	Sorry to keep you waiting so long.
Luke_Sky	24	Kept waiting for two hours as well
Luke_Sky	362	They rarely go out since a child was born
Luke_Sky	720	First of all we must pay attention to eating and drinking
Luke_Sky	832	If it is quiet, you may stay here
smat4649	491	I have tons of works to do this week.
smat4649	121	No one had enough confidence to point out his mistake.
smat4649	843	In case of rain, I will stay home tomorrow.
smat4649	609	We were just to go out when the phone rang.
smat4649	809	Tonight I should prepare for tomorrow.
smat4649	43	It is good for you to enter the school you wanted.
smat4649	260	He will have serious trouble if they find him.
smat4649	825	You will have a call when the person in charge is back.
smat4649	812	The sky will be fine in an hour.
smat4649	727	If it is rainy tomorrow, the match will be stopped.
shiitake39	745	You don't need hurry so.
shiitake39	22	Football is popular in Japan, before. 
shiitake39	162	He couldn't do that he said.
shiitake39	641	Actually, I don't want to do.
shiitake39	499	I want Japan version.
shiitake39	826	He often came my house at sunday to talk .
shiitake39	53	I send you special money that can use one year. 
shiitake39	927	I couldn't go to school. Because I was sick.
shiitake39	941	I worked very hard.  Because, I don't wont lost.
shiitake39	99	This job is very easy. So, children can do it.
truenoAE101	130	Nobody visits such a remote village.
truenoAE101	659	If you have a million dollars, how do you use it?
